Entity,Code,Year,Official development assistance (ODA) and private grants by donor - Net disbursements,1012361-annotations
Other non-DAC countries,,1987,125077656,
Other non-DAC countries,,1988,173388600,
Other non-DAC countries,,1989,462085300,
Other non-DAC countries,,1990,242585170,
Other non-DAC countries,,1991,55936944,
Other non-DAC countries,,1992,22257060,
Other non-DAC countries,,1993,17505954,
People's Postcode Lottery,,2016,22918640,
People's Postcode Lottery,,2017,41628956,
People's Postcode Lottery,,2018,49310616,
People's Postcode Lottery,,2019,61086644,
People's Postcode Lottery,,2020,70671990,
People's Postcode Lottery,,2021,58011684,
People's Postcode Lottery,,2022,76839250,
Poland,POL,1975,124241416,
Poland,POL,1976,116333910,
Poland,POL,1977,72253000,
Poland,POL,1978,81835864,
Poland,POL,1979,79135096,
Poland,POL,1980,99704820,
Poland,POL,1981,15160916,
Poland,POL,1982,7632139,
Poland,POL,1983,4826557,
Poland,POL,1984,10599407,
Poland,POL,1985,48489220,
Poland,POL,1986,35386560,
Poland,POL,1987,21385956,
Poland,POL,1988,18368808,
Poland,POL,1989,10591104,
Poland,POL,1998,30656740,
Poland,POL,1999,35655364,
Poland,POL,2000,51608070,
Poland,POL,2001,57921748,
Poland,POL,2002,22651568,
Poland,POL,2003,40820316,
Poland,POL,2004,158167920,
Poland,POL,2005,237664500,
Poland,POL,2006,328587170,
Poland,POL,2007,341806400,
Poland,POL,2008,298265380,
Poland,POL,2009,367609860,
Poland,POL,2010,353906660,
Poland,POL,2011,372955780,
Poland,POL,2012,403946720,
Poland,POL,2013,452794370,
Poland,POL,2014,417106370,
Poland,POL,2015,480443420,
Poland,POL,2016,754445630,
Poland,POL,2017,729062300,
Poland,POL,2018,768834800,
Poland,POL,2019,795052500,
Poland,POL,2020,825999800,
Poland,POL,2021,927748300,
Poland,POL,2022,3481280000,
Poland,POL,2023,2188530000,
Portugal,PRT,1960,13100871,
Portugal,PRT,1961,449765120,
Portugal,PRT,1966,216754270,
Portugal,PRT,1967,468709120,
Portugal,PRT,1980,14194417,
Portugal,PRT,1981,22281306,
Portugal,PRT,1982,15880426,
Portugal,PRT,1983,53352860,
Portugal,PRT,1984,37694224,
Portugal,PRT,1985,44932550,
Portugal,PRT,1986,71561864,
Portugal,PRT,1987,112293864,
Portugal,PRT,1988,217139600,
Portugal,PRT,1989,281367800,
Portugal,PRT,1990,290515600,
Portugal,PRT,1991,385943040,
Portugal,PRT,1992,461431700,
Portugal,PRT,1993,411537800,
Portugal,PRT,1994,510950500,
Portugal,PRT,1995,378936400,
Portugal,PRT,1996,322117020,
Portugal,PRT,1997,404789950,
Portugal,PRT,1998,413884100,
Portugal,PRT,1999,446414750,
Portugal,PRT,2000,489352160,
Portugal,PRT,2001,481635940,
Portugal,PRT,2002,527855170,
Portugal,PRT,2003,421779620,
Portugal,PRT,2004,1208397400,
Portugal,PRT,2005,427571870,
Portugal,PRT,2006,431229570,
Portugal,PRT,2007,455886080,
Portugal,PRT,2008,560499900,
Portugal,PRT,2009,474747460,
Portugal,PRT,2010,627767400,
Portugal,PRT,2011,653972300,
Portugal,PRT,2012,582729860,
Portugal,PRT,2013,463909470,
Portugal,PRT,2014,406133060,
Portugal,PRT,2015,340912320,
Portugal,PRT,2016,374444220,
Portugal,PRT,2017,401288220,
Portugal,PRT,2018,383405340,
Portugal,PRT,2019,390626660,
Portugal,PRT,2020,414914660,
Portugal,PRT,2021,417033060,
Portugal,PRT,2022,439260000,
Portugal,PRT,2023,413347740,
Postcode Lottery Group,,2016,337631870,
Postcode Lottery Group,,2017,377107800,
Postcode Lottery Group,,2018,371418500,
Postcode Lottery Group,,2019,369283070,
Postcode Lottery Group,,2020,360715800,
Postcode Lottery Group,,2021,325541800,
Postcode Lottery Group,,2022,341489250,
Private Infrastructure Development Group,,2021,18993046,
Private Infrastructure Development Group,,2022,7685000,
Private Infrastructure Development Group,,2023,10927099,
Private donors,,2009,3302809600,Civil society organizations reporting aid data
Private donors,,2011,3412947200,Civil society organizations reporting aid data
Private donors,,2012,3313966000,Civil society organizations reporting aid data
Private donors,,2013,3627054800,Civil society organizations reporting aid data
Private donors,,2014,3690992000,Civil society organizations reporting aid data
Private donors,,2015,4152924400,Civil society organizations reporting aid data
Private donors,,2016,5467348000,Civil society organizations reporting aid data
Private donors,,2017,8339541000,Civil society organizations reporting aid data
Private donors,,2018,8900874000,Civil society organizations reporting aid data
Private donors,,2019,9025096000,Civil society organizations reporting aid data
Private donors,,2020,10974847000,Civil society organizations reporting aid data
Private donors,,2021,12007858000,Civil society organizations reporting aid data
Private donors,,2022,10954681000,Civil society organizations reporting aid data
Qatar,QAT,1973,446120860,
Qatar,QAT,1974,803665660,
Qatar,QAT,1975,1050727400,
Qatar,QAT,1976,495761440,
Qatar,QAT,1977,399627870,
Qatar,QAT,1978,132832840,
Qatar,QAT,1979,694055000,
Qatar,QAT,1980,603855700,
Qatar,QAT,1981,570392300,
Qatar,QAT,1982,296991970,
Qatar,QAT,1983,14555880,
Qatar,QAT,1984,5765044,
Qatar,QAT,1985,10993298,
Qatar,QAT,1986,33669180,
Qatar,QAT,1987,-3494198,
Qatar,QAT,1988,4409195,
Qatar,QAT,1989,-5455513,
Qatar,QAT,1990,-3708642,
Qatar,QAT,1992,28032,
Qatar,QAT,1993,4960737,
Qatar,QAT,1994,3062025,
Qatar,QAT,2019,600991200,
Qatar,QAT,2020,607977540,
Qatar,QAT,2021,655063000,
Qatar,QAT,2022,834767500,
Qatar,QAT,2023,679481860,
Regional development banks,,1965,-446487,
Regional development banks,,1966,-276398880,
Regional development banks,,1967,-270981150,
Regional development banks,,1973,3508599,
Regional development banks,,1974,12760759,
Regional development banks,,1975,75355120,
Regional development banks,,1976,84565810,
Regional development banks,,1977,162018740,
Regional development banks,,1978,295271040,
Regional development banks,,1979,361535200,
Regional development banks,,1980,481352830,
Regional development banks,,1981,450046370,
Regional development banks,,1982,531629340,
Regional development banks,,1983,628976600,
Regional development banks,,1984,445821400,
Regional development banks,,1985,714925630,
Regional development banks,,1986,762263360,
Regional development banks,,1987,817477700,
Regional development banks,,1988,691205100,
Regional development banks,,1989,935620500,
Regional development banks,,1990,1041774400,
Regional development banks,,1991,1021457860,
Regional development banks,,1992,1075613000,
Regional development banks,,1993,1047633150,
Regional development banks,,1994,903680200,
Regional development banks,,1995,685310600,
Regional development banks,,1996,794067100,
Regional development banks,,1997,839943230,
Regional development banks,,1998,848548350,
Regional development banks,,1999,709268860,
Regional development banks,,2000,492521700,
Regional development banks,,2001,966083200,
Regional development banks,,2002,1294268800,
Regional development banks,,2003,830232600,
Regional development banks,,2004,1641220600,
Regional development banks,,2005,1527477000,
Regional development banks,,2006,2881858000,
Regional development banks,,2007,1838431700,
Regional development banks,,2008,2163728600,
Regional development banks,,2009,3527286000,
Regional development banks,,2010,2336062200,
Regional development banks,,2011,2687848400,
Regional development banks,,2012,4937446400,
Regional development banks,,2013,5583169500,
Regional development banks,,2014,5494078500,
Regional development banks,,2015,6301571600,
Regional development banks,,2016,5797864000,
Regional development banks,,2017,5350896000,
Regional development banks,,2018,3802543600,
Regional development banks,,2019,4350621700,
Regional development banks,,2020,6787221000,
Regional development banks,,2021,4521947600,
Regional development banks,,2022,4940424700,
Regional development banks,,2023,3908578300,
Rockefeller Foundation,,2018,123507280,
Rockefeller Foundation,,2019,125352080,
Rockefeller Foundation,,2020,131314560,
Rockefeller Foundation,,2021,366511070,
Rockefeller Foundation,,2022,116723610,
Romania,ROU,2008,124691336,
Romania,ROU,2009,160767620,
Romania,ROU,2010,119124930,
Romania,ROU,2011,161247740,
Romania,ROU,2012,143714560,
Romania,ROU,2013,133462160,
Romania,ROU,2014,212629040,
Romania,ROU,2015,173988880,
Romania,ROU,2016,224852380,
Romania,ROU,2017,238243740,
Romania,ROU,2018,258975340,
Romania,ROU,2019,269219900,
Romania,ROU,2020,317505540,
Romania,ROU,2021,404722660,
Romania,ROU,2022,411895170,
Romania,ROU,2023,525089660,
Russia,RUS,2010,538355400,
Russia,RUS,2011,499421340,
Russia,RUS,2012,429264260,
Russia,RUS,2013,641912260,
Russia,RUS,2014,887763500,
Russia,RUS,2015,1742315500,
Russia,RUS,2016,2008450300,
Russia,RUS,2017,1568192600,
Russia,RUS,2018,1289283500,
Russia,RUS,2019,1580397000,
Russia,RUS,2020,1373352300,
Saudi Arabia,SAU,1966,2161867800,
Saudi Arabia,SAU,1970,1126334200,
Saudi Arabia,SAU,1971,1305609700,
Saudi Arabia,SAU,1972,1927714600,
Saudi Arabia,SAU,1973,5303849000,
Saudi Arabia,SAU,1974,8657126000,
Saudi Arabia,SAU,1975,9912767000,
Saudi Arabia,SAU,1976,9379236000,
Saudi Arabia,SAU,1977,7816191500,
Saudi Arabia,SAU,1978,15063816000,
Saudi Arabia,SAU,1979,9983139000,
Saudi Arabia,SAU,1980,13342038000,
Saudi Arabia,SAU,1981,13266693000,
Saudi Arabia,SAU,1982,8998267000,
Saudi Arabia,SAU,1983,7581174300,
Saudi Arabia,SAU,1984,7799405600,
Saudi Arabia,SAU,1985,6304012000,
Saudi Arabia,SAU,1986,7221762600,
Saudi Arabia,SAU,1987,5221265000,
Saudi Arabia,SAU,1988,3009420300,
Saudi Arabia,SAU,1989,1950295400,
Saudi Arabia,SAU,1990,5413185500,
Saudi Arabia,SAU,1991,2514211300,
Saudi Arabia,SAU,1992,1097477600,
Saudi Arabia,SAU,1993,685327360,
Saudi Arabia,SAU,1994,441806500,
Saudi Arabia,SAU,1995,372391740,
Saudi Arabia,SAU,1996,479498100,
Saudi Arabia,SAU,1997,313493500,
Saudi Arabia,SAU,1998,357615200,
Saudi Arabia,SAU,1999,257230130,
Saudi Arabia,SAU,2000,396660800,
Saudi Arabia,SAU,2001,312636600,
Saudi Arabia,SAU,2002,3660188700,
Saudi Arabia,SAU,2003,3139123000,
Saudi Arabia,SAU,2004,2106780500,
Saudi Arabia,SAU,2005,1211905300,
Saudi Arabia,SAU,2006,2312022300,
Saudi Arabia,SAU,2007,1648574300,
Saudi Arabia,SAU,2008,5053043700,
Saudi Arabia,SAU,2009,3302765600,
Saudi Arabia,SAU,2010,3627795200,
Saudi Arabia,SAU,2011,5013982700,
Saudi Arabia,SAU,2012,1310768400,
Saudi Arabia,SAU,2013,5664686600,
Saudi Arabia,SAU,2014,13570068000,
Saudi Arabia,SAU,2015,945322300,
Saudi Arabia,SAU,2016,1705049300,
Saudi Arabia,SAU,2017,2096054400,
Saudi Arabia,SAU,2018,5036385000,
Saudi Arabia,SAU,2019,2191586600,
Saudi Arabia,SAU,2020,2011656400,
Saudi Arabia,SAU,2021,6894631000,
Saudi Arabia,SAU,2022,6331403300,
Saudi Arabia,SAU,2023,4991126000,
Slovakia,SVK,1999,18877280,
Slovakia,SVK,2000,15342847,
Slovakia,SVK,2001,21550728,
Slovakia,SVK,2002,15685244,
Slovakia,SVK,2003,27259750,
Slovakia,SVK,2004,42287480,
Slovakia,SVK,2005,80064780,
Slovakia,SVK,2006,72081680,
Slovakia,SVK,2007,72378340,
Slovakia,SVK,2008,84422904,
Slovakia,SVK,2009,69991360,
Slovakia,SVK,2010,71557340,
Slovakia,SVK,2011,78236240,
Slovakia,SVK,2012,77419130,
Slovakia,SVK,2013,80523650,
Slovakia,SVK,2014,78077310,
Slovakia,SVK,2015,95502920,
Slovakia,SVK,2016,120221470,
Slovakia,SVK,2017,131015656,
Slovakia,SVK,2018,141717470,
Slovakia,SVK,2019,122523576,
Slovakia,SVK,2020,143394350,
Slovakia,SVK,2021,148419070,
Slovakia,SVK,2022,171880000,
Slovakia,SVK,2023,157250910,
Slovenia,SVN,2005,41306090,
Slovenia,SVN,2006,50815000,
Slovenia,SVN,2007,55006690,
Slovenia,SVN,2008,62398124,
Slovenia,SVN,2009,65870850,
Slovenia,SVN,2010,57560220,
Slovenia,SVN,2011,58128120,
Slovenia,SVN,2012,58273770,
Slovenia,SVN,2013,58472560,
Slovenia,SVN,2014,58236292,
Slovenia,SVN,2015,70924370,
Slovenia,SVN,2016,90597880,
Slovenia,SVN,2017,81655820,
Slovenia,SVN,2018,84158700,
Slovenia,SVN,2019,91130670,
Slovenia,SVN,2020,91540470,
Slovenia,SVN,2021,110021590,
Slovenia,SVN,2022,168700000,
Slovenia,SVN,2023,145958720,
South Korea,KOR,1987,46708540,
South Korea,KOR,1988,55796600,
South Korea,KOR,1989,47955060,
South Korea,KOR,1990,83367460,
South Korea,KOR,1991,74344184,
South Korea,KOR,1992,98046830,
South Korea,KOR,1993,137889010,
South Korea,KOR,1994,160618580,
South Korea,KOR,1995,119065064,
South Korea,KOR,1996,163631780,
South Korea,KOR,1997,216818020,
South Korea,KOR,1998,301003170,
South Korea,KOR,1999,448715360,
South Korea,KOR,2000,282665700,
South Korea,KOR,2001,389073000,
South Korea,KOR,2002,385635260,
South Korea,KOR,2003,465697570,
South Korea,KOR,2004,502459900,
South Korea,KOR,2005,790386200,
South Korea,KOR,2006,445469570,
South Korea,KOR,2007,649448700,
South Korea,KOR,2008,869475400,
South Korea,KOR,2009,979469600,
South Korea,KOR,2010,1243787900,
South Korea,KOR,2011,1328090900,
South Korea,KOR,2012,1608481200,
South Korea,KOR,2013,1701053000,
South Korea,KOR,2014,1715374200,
South Korea,KOR,2015,1842361100,
South Korea,KOR,2016,2173276000,
South Korea,KOR,2017,2029828900,
South Korea,KOR,2018,2163920400,
South Korea,KOR,2019,2400806400,
South Korea,KOR,2020,2180563700,
South Korea,KOR,2021,2690605000,
South Korea,KOR,2022,2906260000,
South Korea,KOR,2023,3270398200,
Spain,ESP,1980,411235070,
Spain,ESP,1981,691749760,
Spain,ESP,1982,718678800,
Spain,ESP,1983,245479840,
Spain,ESP,1984,485382530,
Spain,ESP,1985,591042500,
Spain,ESP,1986,528139300,
Spain,ESP,1987,500893100,
Spain,ESP,1988,478322780,
Spain,ESP,1989,991959500,
Spain,ESP,1990,1418762400,
Spain,ESP,1991,1768453800,
Spain,ESP,1992,1964792800,
Spain,ESP,1993,2005364200,
Spain,ESP,1994,2033781900,
Spain,ESP,1995,1864355000,
Spain,ESP,1996,1699612500,
Spain,ESP,1997,1892828400,
Spain,ESP,1998,2098387000,
Spain,ESP,1999,2120051100,
Spain,ESP,2000,2078950400,
Spain,ESP,2001,2987486500,
Spain,ESP,2002,2688520700,
Spain,ESP,2003,2471564800,
Spain,ESP,2004,2688428500,
Spain,ESP,2005,3197351700,
Spain,ESP,2006,3847144000,
Spain,ESP,2007,4597028000,
Spain,ESP,2008,5700420600,
Spain,ESP,2009,5653105000,
Spain,ESP,2010,5362453000,
Spain,ESP,2011,3583724800,
Spain,ESP,2012,1894801700,
Spain,ESP,2013,2105834200,
Spain,ESP,2014,1688087000,
Spain,ESP,2015,1494484000,
Spain,ESP,2016,4518724600,
Spain,ESP,2017,2652591400,
Spain,ESP,2018,2531043300,
Spain,ESP,2019,2751369000,
Spain,ESP,2020,2702460200,
Spain,ESP,2021,3110279400,
Spain,ESP,2022,4046530000,
Spain,ESP,2023,3365514500,
Susan T. Buffett Foundation,,2017,307155520,
Susan T. Buffett Foundation,,2018,354268350,
Susan T. Buffett Foundation,,2019,391475970,
Susan T. Buffett Foundation,,2020,355519600,
Susan T. Buffett Foundation,,2021,284088220,
Susan T. Buffett Foundation,,2022,237025260,
Sweden,SWE,1960,52656320,
Sweden,SWE,1961,64120644,
Sweden,SWE,1962,135452770,
Sweden,SWE,1963,164209700,
Sweden,SWE,1964,223662220,
Sweden,SWE,1965,245570000,
Sweden,SWE,1966,346118800,
Sweden,SWE,1967,344856100,
Sweden,SWE,1968,402160350,
Sweden,SWE,1969,656926100,
Sweden,SWE,1970,608262460,
Sweden,SWE,1971,759271500,
Sweden,SWE,1972,823876030,
Sweden,SWE,1973,979197000,
Sweden,SWE,1974,1329744100,
Sweden,SWE,1975,1531619200,
Sweden,SWE,1976,1542112000,
Sweden,SWE,1977,1840609000,
Sweden,SWE,1978,1700768100,
Sweden,SWE,1979,1886963100,
Sweden,SWE,1980,1623818200,
Sweden,SWE,1981,1706528600,
Sweden,SWE,1982,2104239700,
Sweden,SWE,1983,1783779300,
Sweden,SWE,1984,1758422400,
Sweden,SWE,1985,1946905600,
Sweden,SWE,1986,1967740400,
Sweden,SWE,1987,2110145300,
Sweden,SWE,1988,2134696800,
Sweden,SWE,1989,2440894500,
Sweden,SWE,1990,2283381500,
Sweden,SWE,1991,2272218600,
Sweden,SWE,1992,2517825000,
Sweden,SWE,1993,2368178700,
Sweden,SWE,1994,2352356400,
Sweden,SWE,1995,1963134500,
Sweden,SWE,1996,2143341300,
Sweden,SWE,1997,2082356200,
Sweden,SWE,1998,1953620400,
Sweden,SWE,1999,2084900400,
Sweden,SWE,2000,2514462200,
Sweden,SWE,2001,2564706600,
Sweden,SWE,2002,2868461600,
Sweden,SWE,2003,2796984800,
Sweden,SWE,2004,2871428000,
Sweden,SWE,2005,3582980600,
Sweden,SWE,2006,4089663000,
Sweden,SWE,2007,4000491000,
Sweden,SWE,2008,4176202200,
Sweden,SWE,2009,4481723000,
Sweden,SWE,2010,4173369600,
Sweden,SWE,2011,4597725700,
Sweden,SWE,2012,4443420000,
Sweden,SWE,2013,4710461400,
Sweden,SWE,2014,5217117000,
Sweden,SWE,2015,7136756000,
Sweden,SWE,2016,4923179500,
Sweden,SWE,2017,5476992000,
Sweden,SWE,2018,5866577000,
Sweden,SWE,2019,5400825300,
Sweden,SWE,2020,6288414700,
Sweden,SWE,2021,5334307300,
Sweden,SWE,2022,5457970000,
Sweden,SWE,2023,5448298000,
Swedish Postcode Lottery,,2016,65723464,
Swedish Postcode Lottery,,2017,69169220,
Swedish Postcode Lottery,,2018,68812320,
Swedish Postcode Lottery,,2019,57879600,
Swedish Postcode Lottery,,2020,59076230,
Swedish Postcode Lottery,,2021,53706452,
Swedish Postcode Lottery,,2022,50841440,
Switzerland,CHE,1960,73139464,
Switzerland,CHE,1961,158655180,
Switzerland,CHE,1962,93093400,
Switzerland,CHE,1963,112275280,
Switzerland,CHE,1964,158112580,
Switzerland,CHE,1965,195757540,
Switzerland,CHE,1966,205612880,
Switzerland,CHE,1967,196832060,
Switzerland,CHE,1968,354845060,
Switzerland,CHE,1969,426711460,
Switzerland,CHE,1970,411157760,
Switzerland,CHE,1971,338045340,
Switzerland,CHE,1972,652937500,
Switzerland,CHE,1973,504412160,
Switzerland,CHE,1974,460273800,
Switzerland,CHE,1975,569279300,
Switzerland,CHE,1976,582028350,
Switzerland,CHE,1977,591478140,
Switzerland,CHE,1978,618616000,
Switzerland,CHE,1979,691871100,
Switzerland,CHE,1980,806538560,
Switzerland,CHE,1981,840412800,
Switzerland,CHE,1982,860013700,
Switzerland,CHE,1983,1101740800,
Switzerland,CHE,1984,1060672400,
Switzerland,CHE,1985,1149242500,
Switzerland,CHE,1986,1137143200,
Switzerland,CHE,1987,1196507900,
Switzerland,CHE,1988,1289473000,
Switzerland,CHE,1989,1259295000,
Switzerland,CHE,1990,1374490800,
Switzerland,CHE,1991,1549062700,
Switzerland,CHE,1992,1963437400,
Switzerland,CHE,1993,1404444500,
Switzerland,CHE,1994,1590294000,
Switzerland,CHE,1995,1505702000,
Switzerland,CHE,1996,1487382100,
Switzerland,CHE,1997,1555272200,
Switzerland,CHE,1998,1535660700,
Switzerland,CHE,1999,1743850800,
Switzerland,CHE,2000,1749104800,
Switzerland,CHE,2001,1766093200,
Switzerland,CHE,2002,1688801900,
Switzerland,CHE,2003,1996003700,
Switzerland,CHE,2004,2186623200,
Switzerland,CHE,2005,2490294300,
Switzerland,CHE,2006,2279186400,
Switzerland,CHE,2007,2181185500,
Switzerland,CHE,2008,2375854600,
Switzerland,CHE,2009,2650345500,
Switzerland,CHE,2010,2530584000,
Switzerland,CHE,2011,2856828400,
Switzerland,CHE,2012,3018092300,
Switzerland,CHE,2013,3131356700,
Switzerland,CHE,2014,3423901700,
Switzerland,CHE,2015,3654387000,
Switzerland,CHE,2016,3820417800,
Switzerland,CHE,2017,3366902800,
Switzerland,CHE,2018,3265687300,
Switzerland,CHE,2019,3320387000,
Switzerland,CHE,2020,3798664000,
Switzerland,CHE,2021,3839560700,
Switzerland,CHE,2022,4496380000,
Switzerland,CHE,2023,4833856000,
Taiwan,TWN,1988,26438144,
Taiwan,TWN,1989,34669450,
Taiwan,TWN,1990,37717348,
Taiwan,TWN,1991,184115330,
Taiwan,TWN,1992,148651360,
Taiwan,TWN,1993,86984950,
Taiwan,TWN,1994,108196110,
Taiwan,TWN,1995,112699580,
Taiwan,TWN,1996,114337860,
Taiwan,TWN,1997,90455850,
Taiwan,TWN,1998,37587310,
Taiwan,TWN,2004,511435650,
Taiwan,TWN,2005,570416800,
Taiwan,TWN,2006,585741200,
Taiwan,TWN,2007,546459300,
Taiwan,TWN,2008,441687040,
Taiwan,TWN,2009,433537150,
Taiwan,TWN,2010,397128260,
Taiwan,TWN,2011,375185150,
Taiwan,TWN,2012,307289400,
Taiwan,TWN,2013,270881340,
Taiwan,TWN,2014,272686300,
Taiwan,TWN,2015,280380830,
Taiwan,TWN,2016,362870270,
Taiwan,TWN,2017,346513660,
Taiwan,TWN,2018,303438940,
Taiwan,TWN,2019,334578430,
Taiwan,TWN,2020,518221980,
Taiwan,TWN,2021,319017600,
Taiwan,TWN,2023,451842530,
Thailand,THA,2006,84184600,
Thailand,THA,2007,71135410,
Thailand,THA,2008,179658620,
Thailand,THA,2009,40555508,
Thailand,THA,2010,4660322,
Thailand,THA,2011,22428050,
Thailand,THA,2012,11595255,
Thailand,THA,2013,36241108,
Thailand,THA,2014,68646840,
Thailand,THA,2015,68697490,
Thailand,THA,2016,185777970,
Thailand,THA,2017,144244140,
Thailand,THA,2018,139656430,
Thailand,THA,2019,152739790,
Thailand,THA,2020,73432600,
Thailand,THA,2021,81999840,
Thailand,THA,2022,71834820,
Thailand,THA,2023,71598270,
Turkey,TUR,1990,3147576,
Turkey,TUR,1991,126335580,
Turkey,TUR,1992,93172810,
Turkey,TUR,1993,63435836,
Turkey,TUR,1994,76818720,
Turkey,TUR,1995,116761700,
Turkey,TUR,1996,95836790,
Turkey,TUR,1997,86214344,
Turkey,TUR,1998,75599900,
Turkey,TUR,1999,137820300,
Turkey,TUR,2000,93600130,
Turkey,TUR,2001,94254376,
Turkey,TUR,2002,95996450,
Turkey,TUR,2003,70594890,
Turkey,TUR,2004,304421340,
Turkey,TUR,2005,472111650,
Turkey,TUR,2006,547422000,
Turkey,TUR,2007,395095580,
Turkey,TUR,2008,459899230,
Turkey,TUR,2009,466910900,
Turkey,TUR,2010,578794050,
Turkey,TUR,2011,784994940,
Turkey,TUR,2012,1558505700,
Turkey,TUR,2013,2035743600,
Turkey,TUR,2014,2365035500,
Turkey,TUR,2015,2977183200,
Turkey,TUR,2016,5059117600,
Turkey,TUR,2017,6888050700,
Turkey,TUR,2018,8315819500,
Turkey,TUR,2019,8620496000,
Turkey,TUR,2020,8700852000,
Turkey,TUR,2021,8087576600,
Turkey,TUR,2022,7116207600,
Turkey,TUR,2023,6028023300,
UBS Optimus Foundation,,2019,95766760,
UBS Optimus Foundation,,2020,105936070,
UBS Optimus Foundation,,2021,76638910,
UBS Optimus Foundation,,2022,110987730,
UN COVID-19 Multi-Partner Trust Fund,,2021,21365876,
UN COVID-19 Multi-Partner Trust Fund,,2022,-910149,
UN Capital Development Fund,,2020,11042251,
UN Capital Development Fund,,2021,11382306,
UN Capital Development Fund,,2022,13358250,
UN Capital Development Fund,,2023,8361496,
UN Development Coordination Office (UNDCO),,2019,148263900,
UN Development Coordination Office (UNDCO),,2020,184890510,
UN Development Coordination Office (UNDCO),,2021,188045490,
UN Development Coordination Office (UNDCO),,2022,211112850,
UN Development Coordination Office (UNDCO),,2023,185155900,
UN Economic and Social Commission for Western Asia (UNESCWA),,2023,3576263,
UN Institute for Disarmament Research,,2019,194962,
UN Institute for Disarmament Research,,2020,396670,
UN Institute for Disarmament Research,,2021,468487,
UN Institute for Disarmament Research,,2022,316018,
UN Institute for Disarmament Research,,2023,686744,
UN Peacebuilding Fund,,2007,10153088,
UN Peacebuilding Fund,,2008,33979050,
UN Peacebuilding Fund,,2009,44939892,
UN Peacebuilding Fund,,2010,53108908,
UN Peacebuilding Fund,,2011,60867704,
UN Peacebuilding Fund,,2012,60811276,
UN Peacebuilding Fund,,2013,42587090,
UN Peacebuilding Fund,,2014,64112290,
UN Peacebuilding Fund,,2015,77887256,
UN Peacebuilding Fund,,2016,51605110,
UN Peacebuilding Fund,,2017,58726276,
UN Peacebuilding Fund,,2018,123844710,
UN Peacebuilding Fund,,2019,155653330,
UN Peacebuilding Fund,,2020,180484210,
UN Peacebuilding Fund,,2021,188006850,
UN Peacebuilding Fund,,2022,179050540,
UN Peacebuilding Fund,,2023,175445660,
UN Women,,2021,147672580,
UN Women,,2022,159441390,
UN Women,,2023,156835120,
UNAIDS,,2005,145155120,
UNAIDS,,2006,206311090,
UNAIDS,,2007,205294380,
UNAIDS,,2008,212064590,
UNAIDS,,2009,256138400,
UNAIDS,,2010,256223900,
UNAIDS,,2011,261253810,
UNAIDS,,2012,244225890,
UNAIDS,,2013,245628290,
UNAIDS,,2014,237553740,
UNAIDS,,2015,265580820,
UNAIDS,,2016,205485550,
UNAIDS,,2017,179198240,
UNAIDS,,2018,197182740,
UNAIDS,,2019,140405900,
UNAIDS,,2020,132552470,
UNAIDS,,2021,85551540,
UNAIDS,,2022,92941290,
UNAIDS,,2023,86346936,
UNDP,,1968,1623184400,
UNDP,,1969,1129941200,
UNDP,,1970,1308627800,
UNDP,,1971,1461756400,
UNDP,,1972,1483683000,
UNDP,,1973,1254396500,
UNDP,,1974,1189372700,
UNDP,,1975,1537969800,
UNDP,,1976,1331762300,
UNDP,,1977,1116308900,
UNDP,,1978,1260813800,
UNDP,,1979,1365560000,
UNDP,,1980,1601316200,
UNDP,,1981,1955882100,
UNDP,,1982,1816678000,
UNDP,,1983,1567691000,
UNDP,,1984,1541438200,
UNDP,,1985,1637898200,
UNDP,,1986,1630644100,
UNDP,,1987,1438493700,
UNDP,,1988,1556479900,
UNDP,,1989,1643995300,
UNDP,,1990,1402805100,
UNDP,,1991,1378843500,
UNDP,,1992,1117730400,
UNDP,,1993,981939260,
UNDP,,1994,758493700,
UNDP,,1995,614516540,
UNDP,,1996,722617300,
UNDP,,1997,928141800,
UNDP,,1998,852058940,
UNDP,,1999,706309600,
UNDP,,2000,561933760,
UNDP,,2001,429949630,
UNDP,,2002,405763550,
UNDP,,2003,389034080,
UNDP,,2004,454382700,
UNDP,,2005,471036670,
UNDP,,2006,498405280,
UNDP,,2007,467052670,
UNDP,,2008,502845280,
UNDP,,2009,664528600,
UNDP,,2010,627683900,
UNDP,,2011,481853730,
UNDP,,2012,487798270,
UNDP,,2013,463754660,
UNDP,,2014,456948580,
UNDP,,2015,462620220,
UNDP,,2016,417867260,
UNDP,,2017,376046720,
UNDP,,2018,313872860,
UNDP,,2019,392928740,
UNDP,,2020,409525760,
UNDP,,2021,392921660,
UNDP,,2022,432646720,
UNECE,,2008,10960983,
UNECE,,2009,13553634,
UNECE,,2010,12396249,
UNECE,,2011,12291635,
UNECE,,2012,12394813,
UNECE,,2013,14246040,
UNECE,,2014,13913113,
UNECE,,2015,14944800,
UNECE,,2016,15477657,
UNECE,,2017,15564878,
UNEP,,2015,137764030,
UNEP,,2016,87800856,
UNEP,,2022,207520460,
UNEP,,2023,177278430,
UNFPA,,1977,229317250,
UNFPA,,1979,391496640,
UNFPA,,1980,362803330,
UNFPA,,1981,319444450,
UNFPA,,1982,288011500,
UNFPA,,1983,309966560,
UNFPA,,1984,307356960,
UNFPA,,1985,328895740,
UNFPA,,1986,214142770,
UNFPA,,1987,194943310,
UNFPA,,1988,219438300,
UNFPA,,1989,264003060,
